Composition,V_Hardness_response,V_Hardness_Error_response
Mo25Nb50V20W5,497,7.23273794
Mo30Nb35Ta5V25W5,520,8.615076425
Mo45Nb35Ta5V15,503,9.349346978
Mo45Nb35Ta5V15,469,14.9
Mo65Nb15V20,492,9.524269899
Mo25Nb50V20W5,474.24,8.157936948
Mo25Nb50V20W5,,
Mo25Nb50V20W5,,
Mo25Nb50V20W5,,
Mo25Nb50V20W5,,
Mo30Nb35Ta5V25W5,,
Mo45Nb35Ta5V15,,
Mo65Nb15V20,,
Mo25Nb50V20W5,,
Mo30Nb35Ta5V25W5,,
Mo45Nb35Ta5V15,,
Mo65Nb15V20,,
Mo25Nb50V20W5,,
Mo30Nb35Ta5V25W5,,
Mo30Nb35Ta5V25W5,,
Mo30Nb35Ta5V25W5,,
Mo30Nb35Ta5V25W5,,
Mo25Nb50V20W5,,
Mo25Nb50V20W5,,
Mo25Nb50V20W5,,
Mo65Nb15V20,,
Mo65Nb15V20,,
Mo65Nb15V20,,
Mo65Nb15V20,,
Mo25Nb50V20W5,,
Mo45Nb35Ta5V15,,
Mo30Nb35Ta5V25W5,,
Mo25Nb50V20W5,477,8.8
Mo30Nb35Ta5V25W5,480,16.6
Mo25Nb50V20W5,,
Mo30Nb35Ta5V25W5,,
Mo25Nb50V20W5,,
Mo25Nb50V20W5,,
Cr40Mo20Nb5V35,598,9.416120062
Cr40Mo30Nb5V25,653,9.556273254
Cr45Mo25Nb5V25,610,13.35452887
Cr45Mo35Nb5V15,670,8.772615995
Cr5Mo30Nb30Ti5V30,524,8.485636752
Cr40Mo20Nb5V35,652,
Cr10Mo30Nb35V15W10,,
Cr10Mo35Nb30Ti5V20,,
Cr10Mo35Nb30V25,,
Cr15Mo5Nb30V45W5,,
Cr5Mo25Nb35V35,,
Mo20Nb20Ti10V35W15,,
Mo25Nb25V45W5,,
Mo30Nb15Ti5V30W20,,
Mo30Nb20V35W15,,
Mo40Nb20Ti5V35,,
Mo45Nb10Ta5V40,,
Mo45Nb20Ta5Ti5V25,,
Mo50Nb15Ti5V30,,
Mo30Nb30V35W5,446.56,11.56810543
Mo35Nb15V45W5,426.77,11.91775189
Cr10Mo25Nb50V15,,
Mo35Nb40V20W5,456.62,10.75725174
Mo35Nb40V20W5,481.79,9.874951557
Mo40Nb20V35W5,496.81,8.132864436
Cr10Mo30Nb35V25,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,533.4,14.72801086
Cr10Mo25Nb50V15,536,9.481302838
Cr10Mo30Nb25Ti5V30,512,9.644036862
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo30Nb25V35,533,8.380156451
Cr10Mo30Nb35V25,557,7.433150155
Cr10Mo25Nb50V15,,
Cr5Mo40Nb40V15,,
Cr5Mo40Nb30V25,,
Cr10Mo30Nb25Ti5V30,,
Cr10Mo30Nb25V35,,
Cr10Mo30Nb35V25,,
Cr10Mo35Nb50V5,,
Cr5Mo25Nb30V40,,
Cr5Mo30Nb20V45,,
Cr5Mo30Nb45V20,,
Cr5Mo40Nb10Ti5V40,,
Cr5Mo40Nb15V40,,
Cr5Mo45Nb35Ti5V10,,
Cr10Mo25Nb50V15,,
Cr10Mo30Nb35V25,,
Cr5Mo30Nb45V20,,
Cr5Mo40Nb30V25,,
Cr5Mo40Nb40V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo25Nb50V15,,
Cr10Mo35Nb50V5,525,9.729806101
Cr5Mo25Nb30V40,509,9.390132192
Cr5Mo30Nb20V45,485,8.972714068
Cr5Mo30Nb45V20,496,9.123764772
Cr5Mo40Nb10Ti5V40,493,7.80846342
Cr5Mo40Nb15V40,516,8.612436188
Cr5Mo40Nb30V25,535,8.323402333
Cr5Mo40Nb40V15,543,8.836539124
Cr5Mo45Nb35Ti5V10,531,8.657198327
Mo40Nb20V35W5,484.9,7.414959002
Mo40Nb30V25W5,468.23,9.69658445
Mo40Nb30V25W5,478.43,8.17445193
Mo25Nb20V45W10,450.86,11.90070166
Mo30Nb25V35W10,480.9585714,14.58764595
Mo35Nb10V45W10,450.24,9.669432507
Mo30Nb10V45W15,453.88,13.25231193
Mo30Nb10V45W15,491.35,9.599424192
Cr5Mo25Nb30V40,481.98,7.6706
Cr5Mo40Nb30V25,,
Cr5Mo40Nb40V15,,
Cr10Mo25Nb50V15,532,12.5
Cr5Mo30Nb20V45,484.31,11.5636
